Denominazione,Latitudine,Longitudine,Indirizzo,Comune,Tipologia
"Bar Italia",41.8576011657715,12.4512996673584,"Via L. Ruspoli, 23",Roma,Privati
"F.lli Ceccarelli Mario e Sergio",41.8722991943359,12.4807996749878,"Via P. Matteucci 21",Roma,Privati
"Due Emme Bar",42.105598449707,12.4474000930786,"Via Monte Noce, 1",Sacrofano,Privati
"A.S.D. Bracelli Club",41.9136009216309,12.4182205200195,"Via Mattia Battistini, 260",Roma,Pubblici
"ASD De Rossi Fitness & Wellness ",41.8740997314453,12.5235004425049,"Via Appia Nuova 464",Roma,Pubblici
"Pub Il Clown",41.7122001647949,12.3250999450684,"Via Litoranea 22",Roma,Privati
"ABC American Bar & Coffee",41.962100982666,12.518500328064,"Via Pian di Sco, 60 ",Roma,Privati
"Bar L'Appuntamento",42.0346984863281,12.4843997955322,"Via Flaminia, 1805",Roma,Privati
"Torre Spaccata Point",41.8705177307129,12.5768699645996,"via Emilio Macro, 20",Roma,Privati
"Equipe Food",41.902099609375,12.4813003540039,"Piazza San Claudio, 165",Roma,Privati
"Mithos Taverna Così Com'è",41.8742980957031,12.5186004638672,"Via Scipione Ammirato 7",Roma,Privati
"Nuova Polisportiva De Rossi ",41.8706016540527,12.5249004364014,"Via di Vigna Fabbri",Roma,Pubblici
"Club Residence I cieli di Roma",41.7841796875,12.394700050354,"Via Francesca Bertini, 8",Roma,Privati
"Club Residence I cieli di Roma",41.7841796875,12.3948535919189,"Via Francesca Bertini, 8",Roma,Privati
"Municipio di Olevano Romano",41.8606643676758,13.0321817398071,"Via del Municipio","Olevano Romano",Pubblici
"Hotel&Residence T-Village",41.4818992614746,12.5967998504639,"via delle Tamerici 49",Anzio,Privati
"Gran caffè Tirreno",41.9804992675781,12.056300163269,"Via Sergio Angelucci ",Cerveteri,Privati
"WiCoffee BAR",41.9090995788574,12.5371999740601,"Via Cave di Pietralata, 25 ",Roma,Privati
Municipio,41.8064994812012,12.6799001693726,"piazza Marconi",Frascati,Pubblici
Museo,41.6929016113281,13.0235996246338,"Via Lauri 1",Segni,Pubblici
Giardini,42.2100982666016,12.480899810791,"Piazza IV Novembre 1","Rignano Flaminio",Pubblici
"Centro Commerciale Arca di Capena",42.116828918457,12.5906953811646,"Via Tiberina 73 A",Capena,Privati
"Novottica Lacchei",41.7273330688477,12.6593446731567,"Piazza Gramsci 6","Albano Laziale",Privati
"Ristorante El Pueblo",41.9006080627441,12.4397506713867,"Via G. De Vecchi Pieralice 34	",Roma,Privati
"Cinema Adriano - foyer",41.9057006835938,12.4694004058838,"Piazza Cavour 22",Roma,Privati
"Cinema Adriano",41.9059894390393,12.4699501991272,"Piazza Cavour 22",Roma,Privati
"Centro Anziani - Metro B ""Garbatella""",41.8665743002982,12.4839841127396,"Via G. Pullino 97",Roma,Pubblici
"Studio 13 Scuola professionale per truccatori",41.9047012329102,12.4688997268677,"Piazza Cavour 13 ",Roma,Pubblici
"Piazza San Giacomo",42.1963005065918,12.5815000534058,"Piazza San Giacomo","Civitella San Paolo",Pubblici
"Piazza delle rose - Santa Lucia",41.9883003234863,12.6596002578735,"Piazza delle Rose","Fonte Nuova",Pubblici
Municipio,42.1166229248047,12.773512840271,"Piazza Sante Aureli 1",Moricone,Pubblici
"Cup Spallanzani",41.8646430969238,12.4577760696411,"Via Portuense 292",Roma,Pubblici
"nuovo Cardiologia - Ospedale Spallanzani",41.8645095825195,12.4576320648193,"Via Portuense 292",Roma,Pubblici
"Parco Leonardo",41.7972984313965,12.2959003448486,"Via Bramante, 31",Fiumicino,Privati
"Parco Leonardo",41.7971992492676,12.2971000671387,"Via Bramante, 31",Fiumicino,Privati
"Parco Leonardo",41.7983016967773,12.296799659729,"Via Bramante, 31",Fiumicino,Privati
"Parco Leonardo",41.7972984313965,12.296199798584,"Via Bramante, 31",Fiumicino,Privati
"Parco Leonardo",41.7975997924805,12.2966003417969,"Via Bramante, 31",Fiumicino,Privati
"Centro Culturale Lepetit",41.888500213623,12.586199760437,"via roberto lepetit, 86",Roma,Pubblici
"Parco Leonardo",41.7974014282227,12.2969999313354,"Via Bramante, 31",Fiumicino,Privati
"ITC Ruiz",41.8250999450684,12.4732999801636,"Viale Africa, 109",Roma,Pubblici
"Municipio ",41.999698638916,12.726300239563,"Piazza Matteotti","Guidonia Montecelio",Pubblici
Municipio,42.1304664611816,12.1303119659424,"Largo Gioacchino Fara ",Manziana,Pubblici
"Ocean surf",41.9739036560059,12.0460824966431,"Viale Adriatico 4",Cerveteri,Privati
"Scuola Padre Pio - Villaggio Rinascita",41.7709312438965,12.9214649200439,"Piazza Europa",Valmontone,Pubblici
"Biblioteca comunale",41.7304479,13.00716,"Via Leonardo da Vinci",Colleferro,Pubblici
"Casetta Srl",41.7132949829102,12.3196277618408,"Lungomare Amerigo Vespucci 68",Roma,Privati
"Pizzeria da Gigetto",41.9085998535156,12.4889001846313,"Via Alessandria, 43",Roma,Privati
"Centro Sociale Anziani",41.8163375854492,12.7140913009644,"via Vittorio Emanuele II","Monte Porzio Catone",Pubblici
