Nome;Totale;Bianchi;Neri;Ispanici;Asiatici;Uomini;Donne;TotRace
DIST1;691474;292771;345746;72236;12254;322348;369126;723007
DIST2;713917;264797;406653;99610;5436;334166;379751;776496
DIST3;720930;529893;38140;238646;30281;361574;359356;836960
DIST4;695098;385144;26083;487383;25740;352478;342620;924350
DIST5;723373;593685;18194;139326;50171;356625;366748;801376
DIST6;722323;599312;19108;67177;65830;353209;369114;751427
DIST7;723481;256647;341264;119971;53760;343743;379738;771642
DIST8;717789;465992;33339;210817;92202;362008;355781;802350
DIST9;724071;514493;72697;78549;93906;350566;373505;759645
DIST10;710610;505898;48352;159809;80123;351902;358708;794182
DIST11;730480;478688;77608;196939;62504;357773;372707;815739
DIST12;693736;541201;117759;23528;10412;343254;350482;692900
DIST13;704699;573421;77940;23987;27069;348787;355912;702417
DIST14;736397;636375;25846;93109;33119;368410;367987;788449
DIST15;700549;648770;31367;18784;4540;347422;353127;703461
DIST16;687998;623579;23523;64186;9120;343262;344736;720408
DIST17;691212;565738;80747;64640;10007;340563;350649;721132
DIST18;713402;647359;29237;20093;18309;351634;361768;714998
DIST19;700549;648770;31367;18784;4540;347422;353127;703461
